Asset,Beta,Avg Returns,Avg Volatility,Best Strategy,Best Test Sharpe
AAPL,1.213043,0.001097,0.016457,Random Forest,1.544303
MSFT,1.178747,0.001009,0.015196,Logistic Regression,1.218092
NVDA,1.798033,0.002657,0.028976,Logistic Regression,1.972225
TTD,1.773262,0.002009,0.038760,Momentum,0.448013
DOCS,1.488148,0.000750,0.038755,Momentum + Rolling Volatility,1.024407
IBM,0.821961,0.000451,0.013995,Momentum,1.778768
BE,1.842010,0.002372,0.053618,Momentum + Trend Strength,1.442981
XOM,0.812041,0.000331,0.015515,Random Forest,1.046949
GLD,0.041616,0.000580,0.008703,Random Forest,2.111895
JNJ,0.462261,0.000355,0.010314,Momentum,1.396559
SCCO,1.102965,0.000959,0.021429,Logistic Regression,0.911062
ECL,0.964061,0.000462,0.013365,Random Forest,1.745442
JPM,1.086492,0.000797,0.014996,Momentum + Rolling Volatility,1.916430
META,1.307990,0.001040,0.021412,Logistic Regression,1.884032
