,AAPL,MSFT,SPY,NVDA,TTD,DOCS,IBM,BE,XOM,GLD,JNJ,SCCO,ECL,JPM,META,QQQ
AAPL,1.0,0.6765932962830612,0.7538902836597243,0.5368329150781667,0.40098700710383234,0.28612456073993653,0.3813126123993513,0.2606726300545713,0.2999098812060461,0.03273707458550074,0.30376816812997076,0.3706831263973683,0.46852656671022463,0.4167862389670213,0.5222884792385345,0.806773682211796
MSFT,0.6765932962830612,1.0,0.7952932386022534,0.6180299488174184,0.4428269885269545,0.29110146755626903,0.39148883144613855,0.28331286239398196,0.2627073100591589,0.028413065794391967,0.3155129661246849,0.3459894434476371,0.4964712325864506,0.4348990255548756,0.6007734584335863,0.8593197637526625
SPY,0.7538902836597243,0.7952932386022534,1.0,0.6508665605878559,0.47277782637118815,0.37446726238627015,0.5959447704960907,0.38744308718453835,0.5241236809133495,0.050779352809278436,0.4537368283595825,0.5512138909362019,0.69236292587927,0.7103070377926541,0.6133536556319004,0.9320656100371976
NVDA,0.5368329150781667,0.6180299488174184,0.6508665605878559,1.0,0.41366605500793,0.30314258548045964,0.30258798664270503,0.32979762040040367,0.18866375296305965,0.020723738710760307,0.11315534742706848,0.3398540834960932,0.3521301380169223,0.33590523937820044,0.4922100459790368,0.748069041616181
TTD,0.40098700710383234,0.4428269885269545,0.47277782637118815,0.41366605500793,1.0,0.3417089984434032,0.20059012129446285,0.3033905685908769,0.15786387563359988,0.0218824414310213,0.08037610474183497,0.24373923909672862,0.3018878554936035,0.23936485270791266,0.4235681919698846,0.5289159200806812
DOCS,0.28612456073993653,0.29110146755626903,0.37446726238627015,0.30314258548045964,0.3417089984434032,1.0,0.15230012995537667,0.2824500196716921,0.07948541171618576,0.058031422816346205,-0.011106959977661712,0.2091103835462004,0.2381043379409811,0.20789011982873498,0.30195623224766066,0.3992047794540317
IBM,0.3813126123993513,0.39148883144613855,0.5959447704960907,0.30258798664270503,0.20059012129446285,0.15230012995537667,1.0,0.19387613868691442,0.41867323261446077,0.03587483191957824,0.3690641545500363,0.34244187057364994,0.4638295499763208,0.5053346184349858,0.25522928307105763,0.48212410235692843
BE,0.2606726300545713,0.28331286239398196,0.38744308718453835,0.32979762040040367,0.3033905685908769,0.2824500196716921,0.19387613868691442,1.0,0.21336289117662122,0.10208208242003763,0.08555659893446177,0.3078641861349569,0.2842948585847097,0.2697352358598928,0.24287066502778365,0.384595352460653
XOM,0.2999098812060461,0.2627073100591589,0.5241236809133495,0.18866375296305965,0.15786387563359988,0.07948541171618576,0.41867323261446077,0.21336289117662122,1.0,0.0434270233040868,0.28910842574941237,0.4545955160759705,0.3740115690043972,0.5337283998539667,0.18061122127261675,0.3458795304261164
GLD,0.03273707458550074,0.028413065794391967,0.050779352809278436,0.020723738710760307,0.0218824414310213,0.058031422816346205,0.03587483191957824,0.10208208242003763,0.0434270233040868,1.0,0.04500640792555634,0.21994106627404514,0.04390071953176686,-0.08994993409170875,0.0276799644939583,0.06149396280956245
JNJ,0.30376816812997076,0.3155129661246849,0.4537368283595825,0.11315534742706848,0.08037610474183497,-0.011106959977661712,0.3690641545500363,0.08555659893446177,0.28910842574941237,0.04500640792555634,1.0,0.20218968016279906,0.42176634639011384,0.34667055958881515,0.15740834727816225,0.3289714802147381
SCCO,0.3706831263973683,0.3459894434476371,0.5512138909362019,0.3398540834960932,0.24373923909672862,0.2091103835462004,0.34244187057364994,0.3078641861349569,0.4545955160759705,0.21994106627404514,0.20218968016279906,1.0,0.3867307463185573,0.4734045405641157,0.27927559792549594,0.4705808075267474
ECL,0.46852656671022463,0.4964712325864506,0.69236292587927,0.3521301380169223,0.3018878554936035,0.2381043379409811,0.4638295499763208,0.2842948585847097,0.3740115690043972,0.04390071953176686,0.42176634639011384,0.3867307463185573,1.0,0.5434461048204472,0.35521675341252146,0.5700127209501219
JPM,0.4167862389670213,0.4348990255548756,0.7103070377926541,0.33590523937820044,0.23936485270791266,0.20789011982873498,0.5053346184349858,0.2697352358598928,0.5337283998539667,-0.08994993409170875,0.34667055958881515,0.4734045405641157,0.5434461048204472,1.0,0.3158002083221852,0.533584909750867
META,0.5222884792385345,0.6007734584335863,0.6133536556319004,0.4922100459790368,0.4235681919698846,0.30195623224766066,0.25522928307105763,0.24287066502778365,0.18061122127261675,0.0276799644939583,0.15740834727816225,0.27927559792549594,0.35521675341252146,0.3158002083221852,1.0,0.7014019197002963
QQQ,0.806773682211796,0.8593197637526625,0.9320656100371976,0.748069041616181,0.5289159200806812,0.3992047794540317,0.48212410235692843,0.384595352460653,0.3458795304261164,0.06149396280956245,0.3289714802147381,0.4705808075267474,0.5700127209501219,0.533584909750867,0.7014019197002963,1.0
