,AAPL,MSFT,SPY,NVDA,TTD,DOCS,IBM,BE,XOM,GLD,JNJ,SCCO,ECL,JPM,META,QQQ
AAPL,0.00033512100139318626,0.00020885964408466276,0.00015707775348377094,0.00030887202599818653,0.00032035210497107885,0.0002195574583405101,0.0001095367660347818,0.0003042487038961747,9.677623456190698e-05,5.587885417715119e-06,6.445533671452138e-05,0.00015448203847907174,0.00013587468000617276,0.0001327784641390602,0.00023197316728883075,0.0002079287126156855
MSFT,0.00020885964408466276,0.0002843492199271129,0.00015263671952277791,0.000327547402392217,0.0003253803187969549,0.00020885501855247784,0.00010359130858307049,0.00030165226143359056,7.808638201315319e-05,4.467359670833404e-06,6.16678814415998e-05,0.00013281992188687958,0.00013262445115603538,0.00012762269225202578,0.0002457894523061411,0.00020400590596762156
SPY,0.00015707775348377094,0.00015263671952277791,0.00012954224690327442,0.000232828580536224,0.00023622401113935966,0.0001802542294808242,0.00010643627028320528,0.0002857883119872235,0.00010515177741728002,5.3888944325029626e-06,5.9858460158306785e-05,0.00014282367972283925,0.0001248369091921448,0.00014069066336533357,0.00016937260001549689,0.00014935305710232245
NVDA,0.00030887202599818653,0.000327547402392217,0.000232828580536224,0.0009878186840362134,0.0005732630803428607,0.0004428673767751056,0.00014923415181937946,0.0006412804241594459,0.00010452115745415079,6.073143287806276e-06,4.122204160956304e-05,0.00024316746227252318,0.00017532558848002482,0.00018372524827861542,0.0003753319845109995,0.00033101084257655553
TTD,0.00032035210497107885,0.0003253803187969549,0.00023622401113935966,0.0005732630803428607,0.0018732533148148834,0.0006359514016516105,0.0001376633818986791,0.0007847782251398762,0.000122629625067109,8.718930882816224e-06,4.1107280721396545e-05,0.00024155092362525353,0.0002086908722158974,0.00018105789780858395,0.0004512384774445319,0.0003271577584925815
DOCS,0.0002195574583405101,0.00020885501855247784,0.0001802542294808242,0.0004428673767751056,0.0006359514016516105,0.0019112652438700718,9.947837231323744e-05,0.00064922061083371,5.786750029212591e-05,2.5032831078153037e-05,-5.161599478110522e-06,0.00021432892810279122,0.00015711026259011845,0.00014058625053211385,0.0003704928475842626,0.00025125847789761696
IBM,0.0001095367660347818,0.00010359130858307049,0.00010643627028320528,0.00014923415181937946,0.0001376633818986791,9.947837231323744e-05,0.0002462384357072819,0.0001924001138423506,0.0001158057811397474,5.248976138087946e-06,6.712674441440846e-05,0.00012233173470563828,0.00011530279248077587,0.00013799724610137105,9.717060480539842e-05,0.0001065120355393172
BE,0.0003042487038961747,0.00030165226143359056,0.0002857883119872235,0.0006412804241594459,0.0007847782251398762,0.00064922061083371,0.0001924001138423506,0.0035050011187762724,0.00024516496436465814,5.889926886402873e-05,6.222425666854356e-05,0.0004403027289342756,0.0002922293340270384,0.00029683535735959364,0.00038164855838389647,0.00034914690257936205
XOM,9.677623456190698e-05,7.808638201315319e-05,0.00010515177741728002,0.00010452115745415079,0.000122629625067109,5.786750029212591e-05,0.0001158057811397474,0.00024516496436465814,0.0003107092951963783,7.137464914071356e-06,5.906819073456612e-05,0.00018242175198770048,0.00010443970806345212,0.0001637234479432114,7.724107967791645e-05,8.583489951858399e-05
GLD,5.587885417715119e-06,4.467359670833404e-06,5.3888944325029626e-06,6.073143287806276e-06,8.718930882816224e-06,2.5032831078153037e-05,5.248976138087946e-06,5.889926886402873e-05,7.137464914071356e-06,8.693879239301472e-05,4.8640379045935674e-06,4.668608749805688e-05,6.484581161080304e-06,-1.4595571273003771e-05,6.2617945451054665e-06,8.072372645080744e-06
JNJ,6.445533671452138e-05,6.16678814415998e-05,5.9858460158306785e-05,4.122204160956304e-05,4.1107280721396545e-05,-5.161599478110522e-06,6.712674441440846e-05,6.222425666854356e-05,5.906819073456612e-05,4.8640379045935674e-06,0.00013434812000507197,5.3351807053412494e-05,7.74446123907102e-05,6.992721068829358e-05,4.426597550141172e-05,5.368289955431553e-05
SCCO,0.00015448203847907174,0.00013281992188687958,0.00014282367972283925,0.00024316746227252318,0.00024155092362525353,0.00021432892810279122,0.00012233173470563828,0.0004403027289342756,0.00018242175198770048,4.668608749805688e-05,5.3351807053412494e-05,0.0005182612086263662,0.00013947184409085112,0.00018755135997517867,0.00015425307330910564,0.00015082400950145768
ECL,0.00013587468000617276,0.00013262445115603538,0.0001248369091921448,0.00017532558848002482,0.0002086908722158974,0.00015711026259011845,0.00011530279248077587,0.0002922293340270384,0.00010443970806345212,6.484581161080304e-06,7.74446123907102e-05,0.00013947184409085112,0.00025096143000332566,0.00014982125037978696,0.00013652853003535872,0.00012713055927656165
JPM,0.0001327784641390602,0.00012762269225202578,0.00014069066336533357,0.00018372524827861542,0.00018105789780858395,0.00014058625053211385,0.00013799724610137105,0.00029683535735959364,0.0001637234479432114,-1.4595571273003771e-05,6.992721068829358e-05,0.00018755135997517867,0.00014982125037978696,0.0003028495228021257,0.00013333751057254312,0.000130731096905734
META,0.00023197316728883075,0.0002457894523061411,0.00016937260001549689,0.0003753319845109995,0.0004512384774445319,0.0003704928475842626,9.717060480539842e-05,0.00038164855838389647,7.724107967791645e-05,6.2617945451054665e-06,4.426597550141172e-05,0.00015425307330910564,0.00013652853003535872,0.00013333751057254312,0.0005886443326338502,0.00023958264387382734
QQQ,0.0002079287126156855,0.00020400590596762156,0.00014935305710232245,0.00033101084257655553,0.0003271577584925815,0.00025125847789761696,0.0001065120355393172,0.00034914690257936205,8.583489951858399e-05,8.072372645080744e-06,5.368289955431553e-05,0.00015082400950145768,0.00012713055927656165,0.000130731096905734,0.00023958264387382734,0.00019820921381886788
